Years,Chile,Colombia,Ecuador,Peru,Brazil,USA,Other
2010,0,5,36,5,5,650,297
2011,0,10,13,5,8,908,274
2012,0,21,5,10,0,673,207
2013,0,47,13,5,10,1207,178
2014,0,0,0,65,122,4306,758
2015,14,119,0,181,868,10366,1681
2016,246,316,0,3602,3375,26663,8297
2017,1345,575,1530,33149,17865,44761,27346
2018,285122,1102818,215264,548114,0,0,228186
2019,167590,599685,117781,258636,0,0,185460
2020,0,0,0,137175,0,0,168557
2021,0,112853,102105,276403,0,0,58836
2022,0,611472,0,178375,135046,138597,116104
2023,1175,5613,154,26886,28532,90946,58584
